Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2020-10-30,4.45,4.51,4.59,4.26,19.32,0.31
2020-10-29,4.7,4.5,4.74,4.46,15.9,-4.99
2020-10-28,5,4.73,5.05,4.73,12.75,-7.32
2020-10-27,5.45,5.11,5.47,4.97,10.57,-5.76
2020-10-26,5.25,5.42,5.44,5.12,8.92,2.77
2020-10-23,5.41,5.27,5.53,5.27,15.06,-3.41
2020-10-22,5.5,5.46,5.54,5.35,8.15,-0.69
2020-10-21,5.69,5.5,5.69,5.5,6.6,-2.97
2020-10-20,5.8,5.66,5.83,5.5,10.57,-1.43
2020-10-19,5.52,5.75,5.8,5.37,18.96,7.36
2020-10-16,5.31,5.35,5.43,5.13,13.2,0.72
2020-10-15,5.52,5.31,5.55,5.29,10.37,-4.77
2020-10-14,5.62,5.58,5.8,5.52,15.49,-0.64
2020-10-13,5.81,5.62,5.88,5.62,11.01,-3.31
2020-10-12,6.02,5.81,6.08,5.64,19.64,-2.39
2020-10-09,6.2,5.95,6.2,5.81,13.84,-4.03
2020-10-08,6.5,6.2,6.54,6.2,14.07,-4.02
2020-10-07,6.58,6.46,6.64,6.33,13.89,-1.49
2020-10-06,6.77,6.56,6.83,6.48,19.45,-4.01
2020-10-05,6.9,6.83,7.06,6.76,14.29,0.8
2020-10-02,6.81,6.78,6.85,6.56,13.99,-3.01
2020-10-01,6.45,6.99,7.09,6.45,42.83,8.85
2020-09-30,6.34,6.42,6.45,6.22,17.34,1.65
2020-09-29,6.5,6.32,6.55,6.28,18.57,-2.62
2020-09-28,6,6.49,6.5,5.95,38.9,10.8
2020-09-25,5.02,5.85,6.3,4.98,37.9,16.85
2020-09-24,5.15,5.01,5.2,4.98,8.37,-4.21
2020-09-23,5.33,5.23,5.36,5.17,5.63,-0.53
2020-09-22,5.13,5.26,5.31,5.09,10.02,2.5
2020-09-21,5.45,5.13,5.55,5.11,15.1,-8
2020-09-18,5.59,5.58,5.65,5.35,20.07,-0.36
2020-09-17,5.27,5.6,5.64,5.27,12.89,3.63
2020-09-16,5.5,5.4,5.55,5.25,11.01,-2.28
2020-09-15,5.62,5.53,5.68,5.52,8.65,-1.5
2020-09-14,5.83,5.61,5.83,5.6,6.56,-1.58
2020-09-11,5.69,5.7,5.75,5.62,5.97,1.86
2020-09-10,5.8,5.6,5.85,5.6,6.88,-3.58
2020-09-09,5.61,5.8,5.88,5.59,7.04,3.31
2020-09-08,5.7,5.62,6.13,5.5,17.7,-0.39
2020-09-07,5.55,5.64,5.77,5.54,8.49,1.66
2020-09-04,5.83,5.55,5.94,5.55,14.98,-5.55
2020-09-03,5.99,5.87,6.2,5.84,14.35,-1.48
2020-09-02,5.8,5.96,6.04,5.8,21.54,2.9
2020-09-01,6,5.79,6.08,5.73,21.94,-4.04
2020-08-31,6.4,6.04,6.5,5.87,32.19,-6.07
2020-08-28,6.32,6.43,6.51,6.29,9.57,1.29
2020-08-27,6.38,6.35,6.38,6.3,14.87,-0.22
2020-08-26,6.5,6.36,6.55,6.3,12.73,-1.55
2020-08-25,6.7,6.46,6.76,6.46,6.48,-3.26
2020-08-24,6.74,6.68,6.76,6.61,6.41,-0.92
2020-08-21,6.58,6.74,6.74,6.5,6.51,2.74
2020-08-20,6.56,6.56,6.6,6.45,5.43,-0.64
2020-08-19,6.76,6.6,6.85,6.6,5.48,-2.25
2020-08-18,6.89,6.75,7,6.72,9.72,-2.82
2020-08-17,6.84,6.95,6.95,6.72,5.59,1.58
2020-08-14,6.75,6.84,6.84,6.67,4.91,1.39
2020-08-13,6.9,6.75,7.03,6.75,12.17,-1.75
2020-08-12,6.97,6.87,6.97,6.73,11.06,-1.89
2020-08-11,6.65,7,7.01,6.52,15.05,7.26
2020-08-10,6.41,6.53,6.64,6.4,6.34,1.81
2020-08-07,6.7,6.41,6.7,6.3,13.41,-3.96
2020-08-06,6.85,6.67,6.91,6.63,9.48,-3.44
2020-08-05,6.84,6.91,6.94,6.74,14.37,1.29
2020-08-04,6.91,6.82,7.06,6.81,20.83,-0.32
2020-08-03,6.66,6.85,6.99,6.62,18.53,3.38
2020-07-31,6.71,6.62,6.94,6.62,25.09,-0.66
